EpRewMean,entloss,EpTrueRewMean,EpisodesSoFar,TimeElapsed,TimestepsSoFar,surrgain,EpThisIter,entropy,meankl,EpLenMean,optimgain,explained_variance_tdlam_before
518.92065,0.0,-660.1812103873584,116,158.4412567615509,56320,0.03448761,2,2.7007942,0.013181355,490.0,0.03448761,0.11982017755508423
506.36896,0.0,-658.2220112322364,119,161.11200761795044,57344,0.028651176,3,2.6976404,0.009324701,490.0,0.028651176,-0.0011088848114013672
491.29745,0.0,-657.7752587663475,121,163.68847250938416,58368,0.029315142,2,2.7088325,0.0108586615,490.0,0.029315142,-0.0073702335357666016
483.88803,0.0,-656.068529107212,123,166.27069282531738,59392,0.03479152,2,2.7094612,0.011477101,490.0,0.03479152,-0.003882169723510742
468.21588,0.0,-655.9082113696961,125,168.85829639434814,60416,0.027002806,2,2.7052498,0.009776607,490.0,0.027002806,-0.01938939094543457
457.5791,0.0,-655.5761630004039,127,171.38800525665283,61440,0.033574946,2,2.7262294,0.010585878,490.0,0.033574946,0.05444616079330444
445.36115,0.0,-655.694366443134,129,173.89771842956543,62464,0.030946188,2,2.7267172,0.010812705,490.0,0.030946188,-0.05675232410430908
435.90088,0.0,-654.672717939294,131,176.7934069633484,63488,0.034295104,2,2.7077727,0.011909971,490.0,0.034295104,-0.013562202453613281
423.01962,0.0,-656.1762473024661,133,179.73638725280762,64512,0.039727107,2,2.6918023,0.013265009,490.0,0.039727107,-0.14179444313049316
411.78778,0.0,-656.5887617759639,135,182.51674914360046,65536,0.031047635,2,2.691182,0.0128867915,490.0,0.031047635,0.04595077037811279
402.3625,0.0,-656.7814783977577,137,185.37717151641846,66560,0.035917085,2,2.6909983,0.013591396,490.0,0.035917085,-0.04757654666900635
391.58746,0.0,-657.1111459499458,139,188.51969599723816,67584,0.043568633,2,2.6517332,0.011103081,490.0,0.043568633,0.018851876258850098
376.8082,0.0,-656.5680284973932,142,192.0487630367279,68608,0.03828936,3,2.615701,0.011462968,490.0,0.03828936,-0.03842508792877197
371.24814,0.0,-657.0066279130755,144,195.0933587551117,69632,0.03166341,2,2.623666,0.012030652,490.0,0.03166341,-0.006728410720825195
364.2212,0.0,-656.2515943426173,146,198.5618073940277,70656,0.030575935,2,2.608123,0.011819497,490.0,0.030575935,-0.003923535346984863
358.74808,0.0,-656.253943058406,148,201.17005801200867,71680,0.037591383,2,2.536365,0.013337215,490.0,0.037591383,-0.019360065460205078
355.36942,0.0,-656.9510260522599,150,204.05013823509216,72704,0.032464243,2,2.5250552,0.011682966,490.0,0.032464243,-0.012697935104370117
352.1739,0.0,-657.461351047759,152,207.32040810585022,73728,0.029474454,2,2.4943855,0.011617407,490.0,0.029474454,0.0017653703689575195
348.45468,0.0,-657.328199120122,154,210.71630954742432,74752,0.031001592,2,2.5056434,0.012025847,490.0,0.031001592,0.012328922748565674
346.95587,0.0,-656.9249089026125,156,213.9847559928894,75776,0.04132317,2,2.502896,0.010963514,490.0,0.04132317,0.024203479290008545
343.03378,0.0,-656.0067870288389,158,217.77719235420227,76800,0.021950355,2,2.4996219,0.0058272243,490.0,0.021950355,0.04848200082778931
