# {"t_start": 1586104316.6417692, "env_id": "Hopper-v2"} 
r,l,t
326.346161,133,207.124314
335.319472,143,207.27142
347.515026,145,207.419714
305.448665,139,207.556691
339.950194,137,207.693972
376.359165,158,207.849036
357.416428,139,207.984569
340.070945,139,208.251242
300.991733,125,208.379643
320.252701,134,208.518013
364.564867,149,208.665941
341.774587,143,208.808568
367.260989,156,208.962578
342.769441,144,209.114273
324.600445,139,209.388002
348.519943,134,209.528838
333.569081,135,209.664871
318.513403,131,209.797788
313.38403,131,209.929693
287.387007,119,210.048265
316.963272,131,210.179082
74.732048,46,210.225088
315.165563,146,210.489436
339.680117,139,210.632861
337.60971,138,210.774478
306.14593,132,210.90827
270.383436,113,211.025654
331.270209,133,211.156305
293.072117,118,211.273691
246.423391,110,211.379774
358.549479,149,211.647413
354.260284,142,211.793132
317.059556,132,211.92769
337.435114,142,212.068585
303.587157,132,212.198689
341.265929,132,212.328734
329.507064,132,212.457479
237.375358,112,212.566225
334.381502,151,212.852207
325.702408,128,212.984242
330.9664,135,213.124271
313.038134,133,213.260785
291.785779,122,213.382997
289.672085,115,213.497505
275.486544,115,213.610969
363.897572,146,213.752474
354.066131,139,214.023307
329.649386,137,214.165274
322.339917,142,214.31013
336.838585,129,214.438174
350.711629,142,214.577476
302.268942,126,214.701211
297.871287,120,214.819606
322.74407,137,215.073
348.684725,138,215.218214
344.659883,140,215.360118
322.716376,133,215.496029
327.547507,136,215.632723
336.414696,133,215.764758
321.407074,127,215.889769
348.375556,133,216.019871
355.842563,142,216.545752
341.258392,145,216.69828
341.615464,137,216.840042
330.68916,136,216.975579
313.058391,130,217.103263
380.469361,160,217.262911
323.114204,137,217.398005
282.537912,122,217.639174
339.653499,145,217.794199
337.612472,136,217.935165
332.933753,130,218.06754
371.11233,143,218.210804
325.723518,132,218.341947
346.998285,141,218.482147
339.948314,138,218.61683
345.177994,135,218.877842
340.767475,140,219.023308
355.531399,144,219.172837
319.741447,124,219.294983
367.217973,155,219.447048
307.442004,123,219.568079
322.244922,132,219.697392
338.741878,139,219.972252
319.526284,123,220.105374
330.282768,140,220.252198
338.442287,136,220.393021
348.512155,133,220.525911
327.034825,136,220.660374
323.463265,123,220.783039
353.927309,140,220.92165
301.086996,119,221.158094
345.138656,132,221.292026
300.861638,127,221.419994
327.301278,130,221.555296
336.306395,133,221.688848
349.436302,133,221.820651
335.342613,131,221.951973
338.748439,129,222.079793
351.175076,142,222.345391
321.435864,126,222.477306
343.493027,128,222.610512
295.333146,118,222.730628
337.257581,127,222.85761
351.993493,133,222.99032
326.894831,131,223.119625
373.094706,149,223.266982
341.0682,135,223.537613
304.83776,127,223.670483
300.643989,124,223.795892
347.422131,140,223.937789
335.040861,130,224.066487
310.640973,123,224.186877
362.091735,137,224.320649
370.548314,141,224.581675
335.707507,135,224.723883
333.07653,137,224.861496
359.622873,152,225.014455
349.4433,138,225.149481
307.449157,124,225.271775
336.311782,131,225.400594
314.552285,130,225.525989
373.619793,135,225.784242
347.74239,141,225.934382
379.901389,144,226.082397
327.24779,127,226.210594
375.297787,136,226.343593
357.287947,138,226.480205
342.270727,141,226.61966
297.250588,120,226.733852
347.000356,130,227.00282
378.992848,138,227.143002
368.859361,136,227.280748
312.945995,122,227.401681
364.926027,137,227.535504
349.360658,127,227.659519
379.427048,138,227.794934
342.598928,132,228.04796
366.856261,132,228.19046
362.559209,136,228.330927
298.533337,122,228.459773
339.430842,134,228.595715
353.108635,144,228.738584
370.841512,143,228.879317
345.371539,139,229.016444
395.080857,143,229.317049
387.584662,150,229.483522
378.978847,148,229.644026
91.079211,52,229.700521
392.675451,139,229.844244
360.947815,133,229.979233
351.089516,148,230.126296
334.686324,125,230.250272
101.615067,55,230.430284
366.43175,132,230.564534
104.443031,59,230.624169
293.0314,118,230.739521
394.074753,149,230.884893
376.067001,137,231.021914
364.781687,138,231.160361
326.722218,127,231.285888
77.752034,46,231.330798
350.264986,130,231.57948
307.177385,118,231.698004
331.584149,132,231.831614
332.235218,122,231.955204
321.243453,120,232.073797
325.029477,129,232.200277
358.062138,143,232.340575
327.921362,123,232.45892
353.508098,128,232.708566
354.723585,136,232.845126
367.209576,135,232.981687
61.248295,37,233.018869
369.766478,138,233.154533
360.417261,134,233.28713
351.702465,135,233.421535
329.31841,129,233.547411
357.038158,137,233.678772
355.501939,134,234.210291
337.910226,125,234.340103
358.410045,133,234.474631
335.486121,129,234.603882
338.924089,129,234.730334
334.651784,127,234.853739
347.146273,131,234.983365
368.749964,140,235.243797
368.880835,143,235.397047
353.621391,134,235.535074
341.860334,129,235.667943
369.325704,142,235.810179
377.049804,135,235.944243
342.376999,138,236.081124
376.446612,153,236.230698
360.625066,139,236.490034
318.969547,132,236.628108
364.301915,147,236.780725
360.755006,134,236.915499
329.787161,123,237.038791
346.738739,135,237.173881
378.626769,140,237.311723
391.585862,141,237.583585
353.484744,133,237.723918
378.109091,139,237.863147
332.299094,130,237.993891
384.284363,142,238.134117
391.708534,146,238.277442
371.206009,144,238.420468
376.354576,139,238.550508
389.46169,140,238.813037
331.721609,129,238.944935
406.837958,152,239.104835
381.494043,153,239.258181
367.362183,140,239.397671
389.117677,140,239.537829
391.138915,150,239.685664
364.644752,140,239.944824
390.818783,143,240.088467
379.33679,138,240.222607
394.648473,152,240.370747
374.36224,144,240.51246
390.045688,141,240.648462
398.547013,140,240.783105
365.335767,132,241.044705
378.996602,145,241.201934
382.847779,138,241.342905
372.547613,144,241.490193
391.075219,144,241.634017
409.427992,150,241.782089
371.067223,129,241.912202
392.450069,142,242.172396
389.863253,147,242.325111
369.669162,131,242.457722
384.588584,144,242.602936
343.23358,129,242.729854
393.561197,155,242.883662
417.882323,154,243.036009
394.702012,141,243.173486
372.786744,139,243.442354
384.683364,149,243.59408
392.369056,146,243.742916
381.752046,139,243.880032
402.041681,149,244.029223
373.873629,137,244.165158
388.956265,137,244.299143
371.718309,140,244.573243
376.1553,141,244.72023
417.3046,154,244.876945
380.456022,143,245.020832
377.141316,136,245.153203
381.402744,136,245.286498
367.548814,135,245.418671
86.877678,51,245.468925
359.248266,129,245.724817
398.069372,140,245.869882
391.29557,139,246.010577
362.616127,139,246.149531
387.682024,138,246.285373
411.915538,153,246.4365
117.809698,63,246.499597
389.109923,138,246.634522
402.760875,143,246.907938
367.794249,132,247.042304
390.553433,140,247.185636
367.962861,130,247.314584
385.205699,135,247.448684
374.276774,135,247.580672
66.091104,40,247.6202
371.615086,133,247.749673
399.298877,145,248.030603
343.321246,138,248.176279
352.203717,125,248.312212
402.598833,147,248.460446
356.824377,136,248.59811
400.178863,141,248.739231
392.962876,146,248.884282
389.287355,150,249.162247
389.371471,133,249.304718
374.633026,130,249.437908
342.571073,124,249.566046
394.739392,143,249.708292
368.569692,134,249.838852
380.912075,137,249.97598
406.077091,147,250.119281
379.329175,146,250.382127
388.590401,148,250.530498
386.909889,135,250.667323
393.094879,146,250.81077
377.366844,141,250.947805
401.080151,146,251.09066
386.407604,142,251.226955
379.065829,135,251.761916
377.111672,139,251.907836
399.890685,147,252.057831
374.641323,140,252.198834
386.359621,136,252.333602
376.273122,138,252.469771
393.065829,142,252.609281
388.276914,142,252.868813
410.30181,159,253.03216
402.523683,147,253.184418
369.520491,145,253.32759
363.715275,131,253.45798
360.609333,132,253.589693
382.934595,143,253.73163
395.545318,144,254.0052
380.898141,139,254.155139
366.899196,135,254.293818
336.286679,128,254.425135
379.102213,135,254.561002
386.51935,136,254.69418
391.018026,153,254.844424
362.869474,129,254.968843
133.945863,68,255.164116
329.35307,130,255.299603
381.217288,131,255.432838
389.553325,139,255.574053
355.768851,128,255.70285
396.332308,147,255.85099
418.60195,161,256.0099
396.606816,144,256.150478
393.627705,152,256.433739
395.971406,142,256.580086
414.934202,153,256.735804
387.997257,143,256.879443
377.846843,141,257.019455
381.395852,140,257.158887
403.284345,150,257.305823
387.170325,138,257.571585
381.162826,154,257.73137
99.625072,55,257.789449
48.513756,30,257.820458
400.364547,154,257.974558
387.733482,142,258.115481
399.101806,151,258.264733
291.544262,117,258.377514
389.03167,145,258.652071
398.036983,148,258.811353
353.257005,128,258.943305
391.291587,144,259.090609
372.766572,135,259.224843
401.151526,155,259.376961
385.932118,143,259.518312
363.786771,135,259.771726
373.201799,148,259.921838
398.600209,145,260.069594
386.361825,147,260.218901
379.382697,143,260.35963
386.924458,147,260.505756
376.358289,143,260.646232
377.923921,148,260.913981
407.72123,159,261.080021
388.008814,142,261.2239
387.480998,139,261.364499
393.931988,148,261.510429
385.121628,151,261.659559
376.301351,144,261.799601
372.881661,144,262.07967
396.087432,150,262.238762
390.466416,150,262.395004
408.377852,156,262.553699
123.520482,67,262.622556
411.93887,155,262.775636
385.368815,143,262.917331
360.791711,151,263.064583
382.315136,144,263.338228
400.208296,171,263.511906
421.584678,153,263.665071
405.577443,162,263.823475
375.979976,138,263.956549
400.561468,150,264.102062
377.451895,152,264.364434
358.718335,147,264.516213
311.131048,128,264.643903
375.293207,159,264.802149
388.426202,147,264.94417
315.573701,131,265.070023
387.993802,144,265.209523
385.432577,153,265.354975
397.965936,154,265.62812
404.976599,161,265.786519
413.00147,165,265.945583
88.090295,51,265.994234
282.196199,127,266.113819
390.199652,157,266.259446
399.492083,157,266.402098
392.768057,158,266.676483
396.698617,166,266.843475
379.190183,150,266.994088
403.006724,168,267.15879
389.563319,153,267.307618
387.056706,149,267.451826
410.990824,166,267.733403
383.422563,149,267.892163
399.676019,149,268.046147
388.472472,149,268.197963
391.167,153,268.35136
348.422013,148,268.49796
217.635322,110,268.6068
381.856922,138,269.142139
377.529847,152,269.306961
378.955088,142,269.45508
429.435289,165,269.624038
388.450816,141,269.768338
417.250025,154,269.921884
378.989835,138,270.058736
402.82347,144,270.319815
393.109409,156,270.475292
284.593742,116,270.593088
390.257407,142,270.734832
156.197783,89,270.8218
397.167871,146,270.965559
379.847431,147,271.11113
384.38491,145,271.251177
330.048153,135,271.503327
374.798564,148,271.656047
385.164495,154,271.812679
380.394765,141,271.953511
382.264203,145,272.096009
401.576406,150,272.241668
399.657788,165,272.399106
399.635783,150,272.679171
366.749874,138,272.820943
390.909353,142,272.964743
394.265569,144,273.10782
369.28622,138,273.243532
393.020117,153,273.3943
371.097527,147,273.537766
402.258032,157,273.819222
371.309131,147,273.968872
370.657056,147,274.116546
382.84597,146,274.259754
383.171729,142,274.399148
394.962408,149,274.545824
370.756304,140,274.681449
410.836846,150,274.952165
317.730845,132,275.084855
366.488284,144,275.229973
324.23848,133,275.362089
393.046361,148,275.505909
369.661326,148,275.650654
340.825697,134,275.781509
357.984383,144,276.049282
407.030005,173,276.230963
146.345,80,276.312381
372.886293,156,276.468867
233.653472,102,276.570716
304.880181,143,276.711364
398.382376,153,276.859126
370.585572,139,276.994596
381.513462,150,277.264455
378.834511,145,277.411052
382.422017,145,277.559148
151.69614,81,277.638897
377.160049,142,277.778152
293.854846,121,277.89933
397.362423,150,278.044947
382.860316,168,278.331918
354.477975,139,278.474987
99.885564,56,278.532182
401.551816,150,278.682939
368.478106,140,278.820689
130.230008,67,278.886629
382.257826,156,279.038316
277.769848,118,279.154235
112.91276,61,279.212294
377.175951,150,279.488556
