# {"t_start": 1586114295.61758, "env_id": "LunarLanderContinuous-v2"} 
r,l,t
-764.420712,73,61.668577
-668.456898,80,61.751725
-43.208659,86,61.83994
-737.885551,64,61.915895
-588.774216,65,62.063662
-384.169536,61,62.138113
-257.864069,51,62.196527
-670.207495,93,62.301266
-266.281198,56,62.364189
-758.344577,63,62.444263
-488.693961,65,62.51334
-363.16187,53,62.569167
-568.626301,61,63.059233
-444.015131,54,63.11777
-723.337656,66,63.201
-542.980924,59,63.265541
-748.364215,74,63.358664
-540.196108,66,63.434799
-721.364849,60,63.508024
-721.337495,64,63.585881
-503.537122,67,63.725587
-465.558756,102,63.847551
-748.715437,88,63.946834
-438.556411,70,64.021875
-284.720239,52,64.077381
-93.888407,65,64.150265
-623.957942,63,64.216529
-654.85703,59,64.3515
-597.048318,70,64.431698
-643.713102,67,64.505437
-431.586386,50,64.559814
-1128.580742,153,64.74859
-1077.080615,148,65.354518
-549.287548,61,65.421172
-516.408073,59,65.486456
-564.516932,61,65.55356
-580.380079,77,65.634737
-438.989707,130,65.785394
-1025.846361,89,65.947191
-436.33789,70,66.028717
-368.763103,50,66.08367
-450.199032,53,66.142223
-711.985242,80,66.242908
-717.056228,73,66.331734
-638.909929,67,66.403946
-602.435402,63,66.470868
-628.993252,67,66.614503
-307.300559,88,66.709
-461.827891,81,66.796431
-447.585666,54,66.851238
-728.336782,116,66.976559
-757.053965,83,67.058781
-442.855858,53,67.110126
-610.366284,65,67.583914
-846.64469,127,67.727235
-473.870643,88,67.819222
-589.284649,66,67.884715
-616.886578,73,67.957523
-538.571544,72,68.030227
-592.957682,63,68.194356
-460.616156,57,68.2584
-601.501667,64,68.327294
-530.188055,61,68.393605
-666.223997,63,68.471777
-311.681681,91,68.567982
-835.764804,81,68.654512
-425.271942,76,68.807807
-688.312443,73,68.901212
-587.738482,74,68.989627
-482.433797,64,69.058517
-517.618321,84,69.149186
-756.680059,80,69.235024
-655.971345,67,69.31341
-694.406634,74,69.827216
-622.974989,73,69.91035
-598.714639,66,69.984288
-457.535885,79,70.075678
-572.784947,72,70.15716
-718.600271,87,70.253405
-630.633707,79,70.431443
-573.873564,100,70.551586
-642.23532,79,70.642397
-530.781849,77,70.730401
-786.240063,75,70.815669
-492.94871,60,70.883718
-595.804788,65,70.95486
-287.251835,76,71.131305
-465.870466,79,71.2325
-304.795395,117,71.374946
-906.659511,83,71.465002
-27.063972,68,71.544519
-554.663187,85,71.639696
-620.892545,144,72.306657
-469.304954,54,72.367494
-585.082687,78,72.4601
-618.901675,79,72.551727
-443.89955,62,72.619309
-540.264016,69,72.692831
-594.856243,90,72.855399
-357.640167,51,72.910839
-491.502605,55,72.971184
-514.958751,85,73.07117
-443.439072,53,73.127531
-585.3046,65,73.195572
-640.632953,84,73.291227
-237.302552,84,73.465664
-369.11364,86,73.573705
-501.092388,67,73.648424
-527.123134,61,73.716551
-462.337095,81,73.808209
-517.294726,65,73.878554
-646.703552,81,73.966574
-593.315863,74,74.526829
-644.96956,231,74.850626
-576.781737,78,74.934526
-22.735057,71,75.017314
-216.117978,90,75.188174
-238.011304,84,75.286741
-562.633042,64,75.373445
-138.354337,91,75.514292
-318.638026,57,75.592049
-586.76665,123,75.782186
-529.304626,79,75.975005
-547.029753,63,76.057121
-680.38916,83,76.165103
-800.054671,84,76.271657
-607.417936,66,76.351347
-745.645215,74,76.439766
-273.818416,76,76.535727
-392.329111,53,77.129274
-597.264829,64,77.221078
-337.473517,61,77.305391
-477.113446,55,77.37083
-608.228105,106,77.512085
-995.778322,128,77.68064
18.314089,80,77.879699
-489.766124,55,77.954986
-477.498832,61,78.039583
-589.108399,61,78.122062
-794.440737,79,78.229395
-616.055003,88,78.350594
-502.792436,141,78.594789
-449.46904,63,78.811379
-657.704642,73,78.928943
-429.538361,53,79.013155
-791.144584,78,79.140442
-382.253632,55,79.231533
-572.952794,79,79.359848
-730.544725,87,79.481562
-500.32804,57,80.075446
-343.142039,53,80.140655
-596.415993,66,80.236665
-530.212312,81,80.355103
-201.564888,60,80.432874
-770.266052,79,80.528711
-320.881174,60,80.605339
-507.566352,76,80.793872
-95.922695,72,80.908192
-494.072382,61,81.011207
-417.554141,55,81.107648
-452.949508,57,81.208185
-467.781214,69,81.343709
-534.754787,79,81.480582
-656.443036,72,81.592938
-834.250242,86,81.840612
-404.933499,54,81.930031
-654.271199,97,82.095971
-362.931648,59,82.179471
-881.491214,85,82.298917
-786.400325,89,82.417783
-509.756728,72,83.099131
-757.639457,76,83.198841
-864.127671,87,83.3101
-578.313377,62,83.399076
-268.099225,53,83.486516
18.394238,63,83.605952
-276.681754,71,83.741578
-495.792436,77,83.952831
-327.619175,54,84.038532
-518.951332,67,84.133944
-367.66695,50,84.201988
-367.998874,61,84.284637
-640.258694,85,84.393748
-739.232689,82,84.496996
-147.804566,61,84.579577
-681.804316,73,84.766879
-445.75791,61,84.850552
-552.756826,81,84.95625
-463.206077,64,85.035697
-439.692246,52,85.099606
-461.167443,57,85.16879
-668.304712,81,85.267626
-271.915737,63,85.931623
-511.155476,62,86.031845
-747.128694,80,86.148738
-66.316193,75,86.256839
-419.039482,52,86.327017
-632.608082,77,86.429955
-20.445466,77,86.536241
-559.93901,61,86.609501
-485.511299,59,86.770782
-641.756367,75,86.883008
-521.950746,56,86.960784
-903.348775,89,87.083777
-562.296411,83,87.188777
-670.794183,75,87.279822
-794.948888,89,87.493136
-414.316982,59,87.574821
-567.932455,63,87.655241
-50.724587,56,87.728728
-697.886728,83,87.830082
-567.914867,64,87.90687
-533.127409,68,87.985154
-29.772474,60,88.06019
-704.689327,75,88.732558
-19.607059,57,88.816306
-660.900416,70,88.911246
-656.72223,80,89.017102
-299.546085,70,89.098745
-522.82069,58,89.171558
-579.592674,89,89.280864
-542.000194,84,89.484437
-691.834294,73,89.572536
-240.608227,59,89.647005
-456.471115,58,89.716285
-589.273889,62,89.786318
-750.659381,75,89.871703
-483.573062,55,89.935642
-541.35995,58,90.010323
-548.132437,75,90.234034
-338.515319,68,90.324498
-464.97729,54,90.398229
-552.765634,90,90.515775
-18.415108,60,90.603103
-508.990081,73,90.702949
-77.943763,70,90.81794
-592.990371,70,91.576049
-622.137561,72,91.6815
-482.184623,74,91.816054
-446.827052,136,92.059608
-200.883174,67,92.1619
-446.844318,82,92.28995
-388.582609,84,92.518758
-660.274987,81,92.647187
-938.344989,90,92.804033
-299.198128,55,92.88908
-96.274217,75,93.013263
-363.394226,61,93.131706
-552.108393,62,93.240273
-278.948603,57,93.449661
-241.766601,101,93.634748
-535.800229,68,93.737591
-78.948284,69,93.843989
-490.163105,60,93.926911
-496.11606,70,94.027391
-177.684455,64,94.120965
-439.080049,60,94.75528
-550.842022,61,94.826667
-579.659368,65,94.903095
-198.776633,55,94.971646
-732.522182,78,95.063309
-480.544688,59,95.13802
-35.092301,57,95.226123
-488.825954,65,95.312507
-319.504181,85,95.506864
-115.152333,67,95.594076
-504.944551,156,95.813778
-83.238465,57,95.881331
-622.541727,68,95.959956
-599.252329,65,96.034284
-485.252032,66,96.206288
-598.22711,69,96.294961
-692.683121,85,96.402935
-630.537307,68,96.483637
-80.190895,64,96.560529
-229.172986,55,96.624935
-617.688934,75,96.711073
-598.567311,64,97.294656
-721.854765,63,97.373553
-353.583374,50,97.427901
-676.510219,76,97.512215
-527.141479,60,97.575375
-584.685394,73,97.652006
-371.181793,53,97.706779
-612.197332,78,97.794661
-118.17027,60,97.926275
-92.474631,57,97.993009
-337.356331,48,98.046966
-217.20658,54,98.109295
-548.824355,61,98.177963
-626.472683,67,98.257885
-675.981171,69,98.33858
-775.255409,86,98.435627
-520.601727,74,98.611286
-665.638993,80,98.706896
-185.431144,74,98.7986
-258.207332,79,98.889134
-188.106064,55,98.952619
-101.970794,54,99.014321
-381.738237,108,99.667541
-369.774866,59,99.737417
-605.076407,63,99.807606
-342.17661,74,99.893566
-703.926531,61,99.96995
-704.59953,86,100.065149
-219.925389,65,100.138912
-657.33257,67,100.216393
-515.216446,72,100.380055
-210.981854,69,100.463381
-626.808317,72,100.546757
-515.350782,60,100.616865
-579.194858,77,100.704276
-424.563976,62,100.774371
-388.366445,55,100.836378
-539.840514,58,100.960243
-578.902333,62,101.028479
-678.338363,78,101.114028
-483.383604,58,101.176088
-609.322374,91,101.273285
-647.605309,70,101.348402
-41.507477,62,101.415012
-569.726464,76,101.501752
-491.726523,55,102.053659
-604.272728,64,102.118951
-678.057227,79,102.200511
-472.085674,60,102.262675
-525.286575,63,102.32794
-639.856826,69,102.400321
-564.308603,62,102.46135
-582.56017,68,102.603285
-499.18915,63,102.679074
-426.271932,51,102.737013
-697.259786,79,102.829142
-202.145583,65,102.906699
-634.321163,67,102.983773
-545.99355,60,103.050432
-625.591511,67,103.121954
-398.33012,50,103.261987
-497.656736,59,103.331645
-442.320272,97,103.447538
-69.251124,56,103.513637
-512.364752,56,103.575407
53.738023,89,103.683421
-596.97933,70,103.766398
-680.439477,75,104.358333
-243.9968,67,104.433505
-552.794521,61,104.500435
-638.797737,68,104.57529
-304.824002,72,104.657501
-335.296756,86,104.75617
-601.569807,69,104.829207
-547.24096,65,104.986799
-686.690654,80,105.081
-353.638617,52,105.14138
-731.940862,83,105.237878
-325.46498,74,105.329507
-343.911349,51,105.387434
-754.822921,79,105.47802
-604.54517,68,105.554129
-363.620122,91,105.728785
-690.940308,78,105.819787
-471.024681,59,105.887047
-90.499385,66,105.966395
-424.226632,57,106.029979
-186.404266,64,106.1051
-268.672845,69,106.182845
-88.633457,59,106.762651
-363.31969,48,106.815627
-496.921165,69,106.891853
-903.595553,86,106.988201
-56.463966,69,107.067311
-72.059668,60,107.136086
-1003.005438,93,107.237489
-638.829173,79,107.390546
-505.109634,56,107.45397
-580.246851,69,107.534358
-595.551571,62,107.604589
-386.04168,61,107.673744
-117.154399,58,107.738907
-372.28426,51,107.794338
-333.323492,51,107.849349
-657.431721,74,107.998965
-654.838964,64,108.079058
-446.62126,59,108.147749
-299.479349,60,108.217548
-468.946851,133,108.387375
-517.126819,59,108.452528
-776.916358,84,108.547293
-522.604253,60,109.158601
-1463.924712,133,109.338732
-429.715082,64,109.411185
-409.049646,60,109.477662
-531.013585,68,109.550106
-945.027164,86,109.641526
-275.119736,55,109.777579
-526.077992,67,109.856649
-649.688176,110,109.989186
-508.413162,68,110.061346
-472.524741,63,110.128525
-672.323141,76,110.210783
-939.205135,89,110.308438
-543.156001,68,110.44879
-645.049201,81,110.544276
-449.06484,59,110.611621
-330.016809,64,110.684829
-475.49029,79,110.775831
-1158.031345,113,110.915303
-168.450206,63,111.529667
-560.408475,67,111.603853
-641.041496,75,111.691839
-660.337169,75,111.775664
-753.274017,94,111.890263
-497.147445,80,111.978477
-965.044108,88,112.072476
-579.867192,64,112.216947
-375.22459,61,112.285919
-531.8371,60,112.352791
-576.102826,64,112.425673
-512.503232,59,112.490094
-638.567338,73,112.570988
-611.774193,67,112.64443
-306.319368,57,112.705624
-712.582019,76,112.855332
-207.471226,76,112.947254
21.380251,70,113.031176
-410.181484,76,113.108461
-402.296823,51,113.163153
-487.54493,55,113.222553
-356.386787,51,113.277307
-359.676604,66,113.893375
-346.714026,61,113.960136
-656.652101,70,114.038487
-123.434991,54,114.095227
-784.962818,84,114.188587
-418.031458,66,114.256703
-475.986734,61,114.321889
-403.358443,52,114.375776
-690.766277,84,114.549338
-1325.203316,114,114.69384
-623.59886,66,114.767437
-746.015663,78,114.852893
-679.570265,76,114.938705
-1084.100191,98,115.056117
-592.900734,63,115.197705
-570.704828,63,115.267828
-621.115521,98,115.382686
-821.011117,106,115.509362
-402.202409,63,115.576985
-302.121806,58,115.638
-319.794339,55,115.694796
-423.477661,58,116.303515
-331.481709,71,116.370451
-499.304065,55,116.425417
-351.038946,59,116.484571
-988.915951,111,116.675607
-621.055891,67,116.741859
-178.50333,64,116.806244
-764.18248,83,116.956695
-383.000102,70,117.029468
-669.47646,74,117.114367
-867.199797,122,117.256888
-990.827435,114,117.392676
-630.184916,67,117.542583
-560.544938,65,117.619801
-719.346945,81,117.716016
-190.409935,52,117.774359
-469.281134,54,117.834156
-158.212919,54,117.894918
-335.833046,54,117.949746
-787.435293,79,118.035731
-406.541765,54,118.094513
-702.37658,82,118.754775
-494.418075,54,118.812437
-494.925122,59,118.875925
-684.940765,117,119.018659
-719.046856,82,119.112912
-336.377487,58,119.173961
-486.251017,55,119.313442
-556.75214,75,119.408772
-380.64187,54,119.47139
-586.035583,88,119.577758
-232.734188,50,119.631244
-650.321818,77,119.723743
-315.010007,59,119.783266
54.700805,95,119.894998
-617.666357,84,120.070092
-748.968317,85,120.169996
-700.540134,109,120.303909
-458.978056,62,120.372514
-372.017252,70,120.442992
-158.164879,68,120.520568
-1005.642352,111,121.204439
-273.825772,98,121.314828
-349.947278,69,121.392966
-553.845449,65,121.468265
-618.940246,67,121.543333
-624.621432,67,121.613605
-708.886153,81,121.793808
-343.826729,56,121.859051
-541.612759,65,121.936754
-646.490668,68,122.033232
-753.464454,89,122.160487
-532.00164,228,122.579046
-535.330645,59,122.650486
-644.106142,69,122.733645
-542.638662,64,122.809069
-487.250446,56,122.870069
-543.126432,72,122.958775
-755.52049,90,123.070563
-369.624176,69,123.683089
-145.15118,55,123.741447
-763.17652,93,123.849779
-465.141393,62,123.914395
-615.033086,68,123.991254
-374.604379,51,124.04333
-460.534227,69,124.116321
-291.797603,52,124.170047
-43.851778,86,124.352753
-540.367875,59,124.418608
-631.507978,69,124.499629
-501.401603,58,124.562438
-487.710626,53,124.620087
-414.246346,60,124.685965
-604.633186,80,124.782932
-406.59893,49,124.833406
-353.349671,69,124.996318
-710.222384,84,125.097813
-437.992922,52,125.15766
-533.431734,58,125.220876
-489.192959,59,125.28561
-207.26375,55,125.347974
-483.726346,57,125.410126
-546.753296,64,125.480485
-615.605911,67,126.113437
-576.616602,61,126.179438
-596.950905,74,126.257893
-801.510544,79,126.343801
-612.928779,86,126.442038
-652.350761,68,126.515208
-339.426208,51,126.567751
72.100769,80,126.732098
-585.810323,72,126.814232
-651.428991,73,126.902481
-470.057683,65,126.977813
-685.476944,79,127.07116
-517.966401,72,127.151628
-433.359054,60,127.217033
-529.000861,58,127.365652
-436.23582,77,127.458032
-659.716723,72,127.546475
-232.993173,61,127.618788
-144.162994,69,127.69963
-658.890933,96,127.814819
-455.335807,52,127.867811
-561.926112,64,128.529358
-372.789458,52,128.586751
